date,close,high,low,open,volume,ticker,sector,company
2023-08-04,13.947379112243652,14.226134408363455,13.562888448036286,13.84164374415609,1009000,FFBL.KA,Fertilizer,FFBL
2023-08-07,14.033889770507812,14.40876705145899,13.803195001427225,14.091562775256048,1933500,FFBL.KA,Fertilizer,FFBL
2023-08-08,14.110787391662598,14.514502082252651,13.928154075269266,14.024276969865321,4712500,FFBL.KA,Fertilizer,FFBL
2023-08-09,14.101174354553223,14.341480664730755,14.033888881046177,14.331868192316655,750000,FFBL.KA,Fertilizer,FFBL
2023-08-10,13.812807083129883,14.226134244464717,13.726296661762511,14.149236295848356,600000,FFBL.KA,Fertilizer,FFBL
2023-08-11,13.96660327911377,14.254971050941355,13.64939900511219,13.64939900511219,1761000,FFBL.KA,Fertilizer,FFBL
2023-08-14,13.96660327911377,13.96660327911377,13.96660327911377,13.96660327911377,0,FFBL.KA,Fertilizer,FFBL
2023-08-15,13.995440483093262,14.17807288298554,13.793583137582921,14.033889457633524,815000,FFBL.KA,Fertilizer,FFBL
2023-08-16,14.005051612854004,14.841317471168356,13.841643246858526,13.937766138630867,7667500,FFBL.KA,Fertilizer,FFBL
2023-08-17,13.937766075134277,14.149235886052526,13.832031628023067,14.081949495440092,1336000,FFBL.KA,Fertilizer,FFBL
2023-08-18,14.091562271118164,14.370317561950941,13.841643481627854,13.937766375030542,4270500,FFBL.KA,Fertilizer,FFBL
2023-08-21,13.937766075134277,14.341480752025557,13.841643183799846,14.21652135996913,3505000,FFBL.KA,Fertilizer,FFBL
2023-08-22,13.889704704284668,14.26458288247325,13.86086820340734,14.110786988866396,628500,FFBL.KA,Fertilizer,FFBL
2023-08-23,13.562888145446777,14.168460171788912,13.457153696414029,13.985827774969465,599000,FFBL.KA,Fertilizer,FFBL
2023-08-24,13.49560260772705,13.851255843765296,13.447541161409267,13.764745423732455,1390500,FFBL.KA,Fertilizer,FFBL
2023-08-25,13.437929153442383,13.649398974534996,13.216847776110553,13.476379045182744,445500,FFBL.KA,Fertilizer,FFBL
2023-08-28,13.476378440856934,13.639785889946362,13.264908629247333,13.274521101751368,764500,FFBL.KA,Fertilizer,FFBL
2023-08-29,13.024602890014648,13.466766561005047,12.976541442075195,13.466766561005047,487500,FFBL.KA,Fertilizer,FFBL
2023-08-30,12.784296035766602,13.264908661797708,12.717009644769078,12.784296035766602,1326500,FFBL.KA,Fertilizer,FFBL
2023-08-31,12.524765014648438,12.68817338392616,12.22678569422143,12.649724409784099,627000,FFBL.KA,Fertilizer,FFBL
2023-09-01,12.50554084777832,12.784296136402853,12.361356508816487,12.399805482533807,1123000,FFBL.KA,Fertilizer,FFBL
2023-09-04,12.438254356384277,12.68817314188818,12.399805382975664,12.495928274845115,1305500,FFBL.KA,Fertilizer,FFBL
2023-09-05,12.447867393493652,12.736235165485326,12.399805945379061,12.57282679191324,1711500,FFBL.KA,Fertilizer,FFBL
2023-09-06,13.043827056884766,13.197622958558037,12.303684050908178,12.495928927999767,1433500,FFBL.KA,Fertilizer,FFBL
2023-09-07,13.053439140319824,13.197622564661241,12.832357767436871,12.832357767436871,337500,FFBL.KA,Fertilizer,FFBL
2023-09-08,13.034214973449707,13.159173450984019,12.611275344255965,13.043826529393684,476500,FFBL.KA,Fertilizer,FFBL
2023-09-11,13.21684741973877,13.553276629828641,13.024602549699921,13.149561944399135,431500,FFBL.KA,Fertilizer,FFBL
2023-09-12,12.995765686035156,13.255296024177714,12.976540741219354,13.255296024177714,150000,FFBL.KA,Fertilizer,FFBL
2023-09-13,12.938092231750488,13.111113074507344,12.880418311932917,13.072664100194249,306000,FFBL.KA,Fertilizer,FFBL
2023-09-14,13.005377769470215,13.264909034839672,12.928479820478344,12.928479820478344,1115500,FFBL.KA,Fertilizer,FFBL
2023-09-15,13.783970832824707,13.937766732860796,13.264909211854967,13.389868609808259,2673500,FFBL.KA,Fertilizer,FFBL
2023-09-18,13.928153991699219,14.033889358459632,13.409092380725827,13.409092380725827,549500,FFBL.KA,Fertilizer,FFBL
2023-09-19,13.812807083129883,14.226134244464717,13.61094973883797,13.639786240395141,769500,FFBL.KA,Fertilizer,FFBL
2023-09-20,13.351419448852539,13.793583113646172,13.312970474379,13.745521666380283,152500,FFBL.KA,Fertilizer,FFBL
2023-09-21,13.841643333435059,13.937766225808627,13.447541124755942,13.457153597332468,1399500,FFBL.KA,Fertilizer,FFBL
2023-09-22,14.081950187683105,14.178073083742763,13.86086881012012,14.120399162767793,510500,FFBL.KA,Fertilizer,FFBL
2023-09-25,13.428317070007324,14.274195404472714,13.38025562391464,14.22613395838003,2001500,FFBL.KA,Fertilizer,FFBL
2023-09-26,13.4571533203125,13.639785712027724,13.226459483399855,13.226459483399855,530000,FFBL.KA,Fertilizer,FFBL
2023-09-27,13.264908790588379,13.601337082059077,13.216847344179467,13.380255711952262,320000,FFBL.KA,Fertilizer,FFBL
2023-09-28,13.264908790588379,13.264908790588379,13.264908790588379,13.264908790588379,0,FFBL.KA,Fertilizer,FFBL
2023-09-29,13.264908790588379,13.264908790588379,13.264908790588379,13.264908790588379,0,FFBL.KA,Fertilizer,FFBL
2023-10-02,13.101500511169434,13.409092303547459,13.024602563074927,13.101500511169434,425500,FFBL.KA,Fertilizer,FFBL
2023-10-03,13.745521545410156,13.976215390221126,13.120724569843963,13.149561987967225,1517000,FFBL.KA,Fertilizer,FFBL
2023-10-04,14.197298049926758,14.25497105428829,13.745521904513998,13.745521904513998,1692000,FFBL.KA,Fertilizer,FFBL
2023-10-05,14.62984848022461,14.706746426460821,14.130010912993406,14.130010912993406,2719500,FFBL.KA,Fertilizer,FFBL
2023-10-06,14.514501571655273,14.783644383682,14.033888948973917,14.437603625361923,891000,FFBL.KA,Fertilizer,FFBL
2023-10-09,15.139298439025879,15.283481867004916,14.226134589534922,14.226134589534922,3452000,FFBL.KA,Fertilizer,FFBL
2023-10-10,15.312318801879883,15.552625118711918,15.100848986392855,15.139297960418146,3450000,FFBL.KA,Fertilizer,FFBL
2023-10-11,15.033563613891602,15.42766491282564,14.898991745534332,15.42766491282564,1592000,FFBL.KA,Fertilizer,FFBL
2023-10-12,15.28348159790039,15.369992019842929,14.908604325077208,15.072012696147366,1724500,FFBL.KA,Fertilizer,FFBL
2023-10-13,15.129685401916504,15.379604190011188,14.898991559073337,15.360379244759669,1397000,FFBL.KA,Fertilizer,FFBL
2023-10-16,15.072012901306152,15.245032830850498,14.898992055065934,15.187359826567674,416000,FFBL.KA,Fertilizer,FFBL
2023-10-17,15.831379890441895,16.100523632073706,14.995114913564906,15.091236892694091,4607000,FFBL.KA,Fertilizer,FFBL
2023-10-18,15.581460952758789,16.340829806130532,15.475727418366672,15.840992219105464,2077000,FFBL.KA,Fertilizer,FFBL
2023-10-19,16.17742156982422,16.244707046833362,15.43727765594014,15.658360866188143,1617000,FFBL.KA,Fertilizer,FFBL
2023-10-20,15.927502632141113,16.340829796814994,15.81215662498061,16.090911003444933,1740500,FFBL.KA,Fertilizer,FFBL
