date,sector,year,month,quarter,month_name,yearmonth,avg_close,avg_daily_return,total_volume,avg_volatility,stock_count
2024-03-15,Technology,2024,3,1,Mar,2024-03,151.345,-0.005859823889763416,14236390,0.033683532836557395,4
2024-03-18,Banking,2024,3,1,Mar,2024-03,96.128,6.842316016966165e-05,1128118,0.012885013081239752,5
2024-03-18,Cement,2024,3,1,Mar,2024-03,251.04999999999998,-0.005540532034930712,1514998,0.018681298279963038,4
2024-03-18,Energy,2024,3,1,Mar,2024-03,85.37199999999999,0.0014943903302761853,12454120,0.0330636936734642,5
2024-03-18,Fertilizer,2024,3,1,Mar,2024-03,113.76249999999999,0.001767983036888382,1647018,0.019200429791759784,4
2024-03-18,Technology,2024,3,1,Mar,2024-03,149.45000000000002,0.003083277435764614,17984547,0.033909873110710934,4
2024-03-19,Banking,2024,3,1,Mar,2024-03,97.704,0.017187305464895573,12502673,0.013104737083747552,5
2024-03-19,Cement,2024,3,1,Mar,2024-03,250.59499999999997,-0.012290361555946816,5284470,0.018642457039953524,4
2024-03-19,Energy,2024,3,1,Mar,2024-03,85.738,-0.0014419212712095896,11817318,0.03196707190794002,5
2024-03-19,Fertilizer,2024,3,1,Mar,2024-03,114.95750000000001,0.011762779467296869,3634224,0.019138961780680294,4
2024-03-19,Technology,2024,3,1,Mar,2024-03,149.2325,0.009029554449150407,25995968,0.03384387740364937,4
2024-03-20,Banking,2024,3,1,Mar,2024-03,97.76,0.0016781662093594996,5609449,0.013017213244362554,5
2024-03-20,Cement,2024,3,1,Mar,2024-03,249.97500000000002,-0.009722928285336302,4483011,0.018755998913911814,4
2024-03-20,Energy,2024,3,1,Mar,2024-03,85.182,-0.002564150706202817,12551444,0.031936115630072516,5
2024-03-20,Fertilizer,2024,3,1,Mar,2024-03,116.035,0.007857726605925985,6230316,0.019188578622938688,4
2024-03-20,Technology,2024,3,1,Mar,2024-03,149.025,-0.00889094555069847,17607044,0.03395692302884449,4
2024-03-21,Banking,2024,3,1,Mar,2024-03,97.64,-0.0014999955627246874,3581246,0.013084705179252762,5
2024-03-21,Cement,2024,3,1,Mar,2024-03,245.64000000000001,-0.021960981924229128,4688850,0.019114622190117524,4
2024-03-21,Energy,2024,3,1,Mar,2024-03,84.13199999999999,-0.011479046742892064,14158436,0.03199379602115506,5
2024-03-21,Fertilizer,2024,3,1,Mar,2024-03,116.375,0.00712844132363416,2905458,0.019247631524381244,4
2024-03-21,Technology,2024,3,1,Mar,2024-03,145.345,-0.031772617870435976,8491232,0.0346225958785161,4
2024-03-22,Banking,2024,3,1,Mar,2024-03,96.71,-0.008491234842251316,2736234,0.012955571126135795,5
2024-03-22,Cement,2024,3,1,Mar,2024-03,245.075,0.002029659921551602,2508575,0.018455008109489492,4
2024-03-22,Energy,2024,3,1,Mar,2024-03,83.59,-0.008205499616804257,7261729,0.03132029551165659,5
2024-03-22,Fertilizer,2024,3,1,Mar,2024-03,116.2175,-0.009039303049208636,2034376,0.018868584279998848,4
2024-03-22,Technology,2024,3,1,Mar,2024-03,146.5175,0.009590360067292525,8785690,0.0339427012943957,4
2024-03-26,Banking,2024,3,1,Mar,2024-03,96.894,0.0006873550035643606,1798121,0.012250344709125515,5
2024-03-26,Cement,2024,3,1,Mar,2024-03,246.3925,0.010768109754595134,4127581,0.017377960535014135,4
2024-03-26,Energy,2024,3,1,Mar,2024-03,84.77,0.007699339520797599,26980161,0.028969768953020038,5
2024-03-26,Fertilizer,2024,3,1,Mar,2024-03,118.2225,0.021160731193570925,5334747,0.019191412376862817,4
2024-03-26,Technology,2024,3,1,Mar,2024-03,144.8725,-0.008786824697941814,5446080,0.03338731757251595,4
2024-03-27,Banking,2024,3,1,Mar,2024-03,98.162,0.011938155924823324,4336777,0.01198013752179338,5
2024-03-27,Cement,2024,3,1,Mar,2024-03,249.4025,0.010234287613658577,3610310,0.017228470748283365,4
2024-03-27,Energy,2024,3,1,Mar,2024-03,84.92999999999999,0.003077691929749138,10473401,0.027755651843894093,5
2024-03-27,Fertilizer,2024,3,1,Mar,2024-03,120.1,0.027119093237361447,11803111,0.019202979951405914,4
2024-03-27,Technology,2024,3,1,Mar,2024-03,145.825,0.02576451449552758,45588807,0.03349067976883188,4
2024-03-28,Banking,2024,3,1,Mar,2024-03,98.55199999999999,0.0013868036580215071,10715533,0.012014921525650887,5
2024-03-28,Cement,2024,3,1,Mar,2024-03,252.33999999999997,0.01173557120218649,3906808,0.01718389296719353,4
2024-03-28,Energy,2024,3,1,Mar,2024-03,85.76,0.008281026482214671,10295417,0.025056199365214103,5
2024-03-28,Fertilizer,2024,3,1,Mar,2024-03,122.1075,0.022637468984711973,24690198,0.01950931819110874,4
2024-03-28,Technology,2024,3,1,Mar,2024-03,145.86499999999998,0.008135364277498058,31697324,0.0332511551314852,4
2024-03-29,Banking,2024,3,1,Mar,2024-03,98.796,-0.002004758069361845,5912654,0.012003802790114104,5
2024-03-29,Cement,2024,3,1,Mar,2024-03,250.41750000000002,-0.011907998773169781,2314756,0.016607483127064986,4
