date,ticker,sector,open,high,low,close,volume,company,year,month,quarter,week,month_name,yearmonth,daily_return,52w_high,52w_low,pct_from_52w_high,ma_30,volatility_30d
2023-06-27,ABL.KA,Banking,44.53,44.53,44.53,44.53,17500,ABL,2023,6,2,26,Jun,2023-06,0.022737712448323455,46.15,37.61,-3.51,44.38866666666666,0.018077392782187778
2023-06-28,ABL.KA,Banking,44.53,44.53,44.53,44.53,0,ABL,2023,6,2,26,Jun,2023-06,0.0,46.15,37.61,-3.51,44.422000000000004,0.018077392782187778
2023-06-29,ABL.KA,Banking,44.53,44.53,44.53,44.53,0,ABL,2023,6,2,26,Jun,2023-06,0.0,46.15,37.61,-3.51,44.455333333333336,0.018077392782187778
2023-06-30,ABL.KA,Banking,44.53,44.53,44.53,44.53,0,ABL,2023,6,2,26,Jun,2023-06,0.0,46.15,37.61,-3.51,44.432,0.016580413710678768
2023-07-03,ABL.KA,Banking,45.52,45.52,45.21,45.21,1000,ABL,2023,7,3,27,Jul,2023-07,0.015270604087132211,46.15,37.61,-2.04,44.48800000000001,0.015245918708825423
2023-07-04,ABL.KA,Banking,45.92,45.92,44.56,44.56,2000,ABL,2023,7,3,27,Jul,2023-07,-0.014377350143773504,46.15,37.61,-3.45,44.44466666666667,0.01191253488922691
2023-07-05,ABL.KA,Banking,45.19,45.19,44.79,44.79,2000,ABL,2023,7,3,27,Jul,2023-07,0.005161579892279944,46.15,37.61,-2.95,44.39933333333333,0.011890143343496671
2023-07-06,ABL.KA,Banking,44.57,45.75,44.57,45.36,6000,ABL,2023,7,3,27,Jul,2023-07,0.012726054922973962,46.15,37.61,-1.71,44.42700000000001,0.01024205833893729
2023-07-07,ABL.KA,Banking,45.52,45.52,45.45,45.45,131000,ABL,2023,7,3,27,Jul,2023-07,0.001984126984126977,46.15,37.61,-1.52,44.45733333333333,0.010244476201184995
2023-07-10,ABL.KA,Banking,45.52,48.52,45.52,48.52,36000,ABL,2023,7,3,28,Jul,2023-07,0.06754675467546756,48.52,37.61,0.0,44.590333333333334,0.015925052201224924
2023-07-11,ABL.KA,Banking,47.52,47.85,45.2,47.44,19500,ABL,2023,7,3,28,Jul,2023-07,-0.022258862324814666,48.52,37.61,-2.23,44.68733333333333,0.016574198145390736
2023-07-12,ABL.KA,Banking,48.45,48.45,48.18,48.18,1500,ABL,2023,7,3,28,Jul,2023-07,0.015598650927487467,48.52,37.61,-0.7,44.809,0.01674521312121483
2023-07-13,ABL.KA,Banking,48.18,48.18,45.87,46.39,12000,ABL,2023,7,3,28,Jul,2023-07,-0.037152345371523454,48.52,37.61,-4.39,44.871,0.018261715708112358
2023-07-14,ABL.KA,Banking,46.52,47.22,46.52,47.19,21000,ABL,2023,7,3,28,Jul,2023-07,0.01724509592584611,48.52,37.61,-2.74,44.959666666666664,0.018482173227584844
2023-07-17,ABL.KA,Banking,48.17,49.84,48.17,48.18,24000,ABL,2023,7,3,29,Jul,2023-07,0.020979020979021046,49.84,37.61,-3.33,45.080333333333336,0.01879729770908268
2023-07-18,ABL.KA,Banking,47.85,48.52,47.19,47.52,33500,ABL,2023,7,3,29,Jul,2023-07,-0.013698630136986245,49.84,37.61,-4.65,45.178666666666665,0.019032865246716105
2023-07-19,ABL.KA,Banking,47.19,48.18,47.19,47.46,16500,ABL,2023,7,3,29,Jul,2023-07,-0.0012626262626262985,49.84,37.61,-4.78,45.275666666666666,0.019037515178414354
